# Truth table
# Exported on Wed Mar 13 21:32:54 BRT 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

State[4..0] Instru[7..0] Status[2..0] | NextState[4..0] SelReg[3..0] SelAddr[2..0] Func[2..0]    WR[14..0]    BusSel
   00101      --010110       ---      |      00001          0110          000         000     001000000000000   0   
   00101      --010111       ---      |      00001          0111          000         000     001000000000000   0   
   00101      --011000       ---      |      00001          0000          000         000     000100000000000   0   
   00101      --011001       ---      |      00001          0001          000         000     000100000000000   0   
   00101      --011010       ---      |      00001          0010          000         000     000100000000000   0   
   00101      --011011       ---      |      00001          0011          000         000     000100000000000   0   
   00101      --011100       ---      |      00001          0100          000         000     000100000000000   0   
   00101      --011101       ---      |      00001          0101          000         000     000100000000000   0   
   00101      --011110       ---      |      00001          0110          000         000     000100000000000   0   
   00101      --011111       ---      |      00001          0111          000         000     000100000000000   0   
   00101      --100000       ---      |      00001          0000          000         000     000010000000000   0   
   00101      --100001       ---      |      00001          0001          000         000     000010000000000   0   
   00101      --100010       ---      |      00001          0010          000         000     000010000000000   0   
   00101      --100011       ---      |      00001          0011          000         000     000010000000000   0   
   00101      --100100       ---      |      00001          0100          000         000     000010000000000   0   
   00101      --100101       ---      |      00001          0101          000         000     000010000000000   0   
   00101      --100110       ---      |      00001          0110          000         000     000010000000000   0   
   00101      --100111       ---      |      00001          0111          000         000     000010000000000   0   
   00101      --101000       ---      |      00001          0000          000         000     000001000000000   0   
   00101      --101001       ---      |      00001          0001          000         000     000001000000000   0   
   00101      --101010       ---      |      00001          0010          000         000     000001000000000   0   
   00101      --101011       ---      |      00001          0011          000         000     000001000000000   0   
   00101      --101100       ---      |      00001          0100          000         000     000001000000000   0   
   00101      --101101       ---      |      00001          0101          000         000     000001000000000   0   
   00101      --101110       ---      |      00001          0110          000         000     000001000000000   0   
   00101      --101111       ---      |      00001          0111          000         000     000001000000000   0   
   00101      --110000       ---      |      00001          0000          000         000     000000100000000   0   
   00101      --110001       ---      |      00001          0001          000         000     000000100000000   0   
   00101      --110010       ---      |      00001          0010          000         000     000000100000000   0   
   00101      --110011       ---      |      00001          0011          000         000     000000100000000   0   
   00101      --110100       ---      |      00001          0100          000         000     000000100000000   0   
   00101      --110101       ---      |      00001          0101          000         000     000000100000000   0   
   00101      --110110       ---      |      00001          0110          000         000     000000100000000   0   
   00101      --110111       ---      |      00001          0111          000         000     000000100000000   0   
   00101      --111000       ---      |      00001          0000          000         000     000000010000000   0   
   00101      --111001       ---      |      00001          0001          000         000     000000010000000   0   
   00101      --111010       ---      |      00001          0010          000         000     000000010000000   0   
   00101      --111011       ---      |      00001          0011          000         000     000000010000000   0   
   00101      --111100       ---      |      00001          0100          000         000     000000010000000   0   
   00101      --111101       ---      |      00001          0101          000         000     000000010000000   0   
   00101      --111110       ---      |      00001          0110          000         000     000000010000000   0   
   00101      --111111       ---      |      00001          0111          000         000     000000010000000   0   
   00110      -----000       ---      |      00111          1100          000         000     000000000000001   0   
   00110      -----001       ---      |      00111          1100          000         001     000000000000001   0   
   00110      -----010       ---      |      00111          1100          000         010     000000000000001   0   
   00110      -----011       ---      |      00111          1100          000         011     000000000000001   0   
   00110      -----100       ---      |      00111          1100          000         100     000000000000001   0   
   00110      -----101       ---      |      00111          1100          000         101     000000000000001   0   
   00110      -----110       ---      |      00111          1100          000         110     000000000000001   0   
   00110      -----111       ---      |      00111          1100          000         111     000000000000001   0   
   00111      ----0000       ---      |      00001          1100          000         000     100000000000001   0   
   00111      ----0001       ---      |      00001          1100          000         001     100000000000001   0   
   00111      ----0010       ---      |      00001          1100          000         010     100000000000001   0   
   00111      ----0011       ---      |      00001          1100          000         011     100000000000001   0   
   00111      ----0100       ---      |      00001          1100          000         100     100000000000001   0   
   00111      ----0101       ---      |      00001          1100          000         101     100000000000001   0   
   00111      ----0110       ---      |      00001          1100          000         110     100000000000001   0   
   00111      ----0111       ---      |      00001          1100          000         111     100000000000001   0   
   00111      ----1000       ---      |      00001          1100          000         000     010000000000001   0   
   00111      ----1001       ---      |      00001          1100          000         001     010000000000001   0   
   00111      ----1010       ---      |      00001          1100          000         010     010000000000001   0   
   00111      ----1011       ---      |      00001          1100          000         011     010000000000001   0   
   00111      ----1100       ---      |      00001          1100          000         100     010000000000001   0   
   00111      ----1101       ---      |      00001          1100          000         101     010000000000001   0   
   00111      ----1110       ---      |      00001          1100          000         110     010000000000001   0   
   00111      ----1111       ---      |      00001          1100          000         111     010000000000001   0   
   01000      --------       ---      |      01001          1101          000         000     000000000000000   0   
   01001      --0-----       ---      |      00001          1101          000         000     100000000000000   0   
   01001      --1-----       ---      |      00001          1101          000         000     010000000000000   0   
   01010      --------       ---      |      01011          0000          001         000     000000001000000   0   
   01011      --------       ---      |      00001          0000          100         000     000000100000000   1   
   01100      ------00       ---      |      00001          1011          000         000     100000000000000   0   
   01100      ------01       ---      |      00001          1011          000         000     010000000000000   0   
   01100      ------10       ---      |      00001          1011          000         000     001000000000000   0   
   01100      ------11       ---      |      00001          1011          000         000     000100000000000   0   
